case_id	typed_key_codes	typed_key_strings	reason
KN000001	34	あう	normal
KN000002	qwert	たていすん	technical_or_intentional
KN000003	67	おや	normal_or_intentional
KN000004	qaz	たちつ	multi_key_trace
KN000005	asdfg	ちとしはき	multi_key_trace
KN000006	zxcvb	つさそひこ	multi_key_trace
KN000007	jkl;	まりりれ	multi_key_trace
KN000008	1-^	ぬほへ	multi_key_trace
KN000009	90-	わよほ	multi_key_trace
KN000010	@[	゛゜	dakuten_sequence
KN000011	;;	れれ	intentional_duplicate
KN000012	mm	もも	intentional_duplicate
KN000013	ii	にに	intentional_duplicate
KN000014	12	ぬふ	multi_key_trace
KN000015	uw	なて	multi_key_trace
KN000016	gh	きく	multi_key_trace
KN000017	bn	こみ	multi_key_trace
KN000018	./	るめ	multi_key_trace
KN000019	___	ろろろ	intentional_duplicate
KN000020	6@[	お゛゜	dakuten_sequence
